Location,Count,Timestamp
Hamilton,2,2020-03-20 19:36:17
Herkimer,1,2020-03-12 21:54:00
Herkimer,1,2020-03-13 20:01:24
Herkimer,1,2020-03-14 03:19:05
Herkimer,1,2020-03-14 15:33:50
Herkimer,1,2020-03-14 18:51:54
Herkimer,1,2020-03-14 22:31:39
Herkimer,1,2020-03-15 02:22:39
Herkimer,1,2020-03-15 15:52:37
Herkimer,1,2020-03-15 19:58:05
Herkimer,1,2020-03-17 16:40:43
Herkimer,1,2020-03-17 18:00:34
Herkimer,1,2020-03-17 19:49:33
Herkimer,1,2020-03-17 20:28:21
Herkimer,1,2020-03-18 05:18:04
Herkimer,1,2020-03-18 20:27:28
Herkimer,1,2020-03-19 02:05:01
Herkimer,1,2020-03-19 17:56:54
Herkimer,1,2020-03-20 13:21:52
Herkimer,2,2020-03-20 19:36:17
Jefferson,1,2020-03-19 17:56:54
Jefferson,1,2020-03-20 13:21:52
Jefferson,1,2020-03-20 19:36:17
Livingston,1,2020-03-20 19:36:17
Monroe,1,2020-03-12 21:54:00
Monroe,1,2020-03-13 20:01:24
Monroe,1,2020-03-14 03:19:05
Monroe,1,2020-03-14 15:33:50
Monroe,2,2020-03-14 18:51:54
Monroe,2,2020-03-14 22:31:39
Monroe,2,2020-03-15 02:22:39
Monroe,2,2020-03-15 15:52:37
Monroe,2,2020-03-15 19:58:05
Monroe,10,2020-03-17 16:40:43
Monroe,10,2020-03-17 18:00:34
Monroe,10,2020-03-17 19:49:33
Monroe,10,2020-03-17 20:28:21
Monroe,10,2020-03-18 05:18:04
Monroe,14,2020-03-18 20:27:28
Monroe,14,2020-03-19 02:05:01
Monroe,27,2020-03-19 17:56:54
Monroe,27,2020-03-20 13:21:52
Monroe,32,2020-03-20 19:36:17
Montgomery,1,2020-03-15 19:58:05
Montgomery,1,2020-03-17 16:40:43
Montgomery,1,2020-03-17 18:00:34
Montgomery,1,2020-03-17 19:49:33
Montgomery,1,2020-03-17 20:28:21
Montgomery,1,2020-03-18 05:18:04
Montgomery,2,2020-03-18 20:27:28
Montgomery,2,2020-03-19 02:05:01
Montgomery,2,2020-03-19 17:56:54
Montgomery,2,2020-03-20 13:21:52
Montgomery,2,2020-03-20 19:36:17
Nassau,5,2020-03-08 19:23:56
Nassau,17,2020-03-09 21:07:28
Nassau,17,2020-03-10 00:25:59
Nassau,19,2020-03-10 18:27:08
Nassau,19,2020-03-11 03:02:16
Nassau,19,2020-03-11 14:13:15
Nassau,28,2020-03-11 20:01:35
Nassau,28,2020-03-12 00:20:09
Nassau,41,2020-03-12 21:54:00
Nassau,51,2020-03-13 20:01:24
Nassau,51,2020-03-14 03:19:05
Nassau,51,2020-03-14 15:33:50
Nassau,68,2020-03-14 18:51:54
Nassau,68,2020-03-14 22:31:39
Nassau,79,2020-03-15 02:22:39
Nassau,79,2020-03-15 15:52:37
Nassau,98,2020-03-15 19:58:05
Nassau,131,2020-03-17 16:40:43
Nassau,131,2020-03-17 18:00:34
Nassau,131,2020-03-17 19:49:33
Nassau,131,2020-03-17 20:28:21
Nassau,131,2020-03-18 05:18:04
Nassau,183,2020-03-18 20:27:28
Nassau,183,2020-03-19 02:05:01
Nassau,372,2020-03-19 17:56:54
Nassau,372,2020-03-20 13:21:52
Nassau,754,2020-03-20 19:36:17
New York City,0,2020-02-27 09:21:27
New York City,0,2020-03-02 01:18:24
New York City,1,2020-03-02 18:27:10
New York City,1,2020-03-05 11:05:17
New York City,3,2020-03-06 02:59:10
New York City,4,2020-03-06 21:01:07
New York City,4,2020-03-07 16:32:34
New York City,11,2020-03-08 00:31:26
New York City,11,2020-03-08 01:44:08
New York City,12,2020-03-08 19:23:56
New York City,19,2020-03-09 21:07:28
New York City,19,2020-03-10 00:25:59
New York City,36,2020-03-10 18:27:08
New York City,36,2020-03-11 03:02:16
New York City,36,2020-03-11 14:13:15
New York City,52,2020-03-11 20:01:35
New York City,52,2020-03-12 00:20:09
New York City,95,2020-03-12 21:54:00
New York City,154,2020-03-13 20:01:24
New York City,154,2020-03-14 03:19:05
New York City,154,2020-03-14 15:33:50
New York City,213,2020-03-14 18:51:54
New York City,213,2020-03-14 22:31:39
New York City,269,2020-03-15 02:22:39
New York City,269,2020-03-15 15:52:37
New York City,329,2020-03-15 19:58:05
New York City,644,2020-03-17 16:40:43
New York City,644,2020-03-17 18:00:34
New York City,644,2020-03-17 19:49:33
New York City,644,2020-03-17 20:28:21
New York City,644,2020-03-18 05:18:04
New York City,"1,339",2020-03-18 20:27:28
New York City,"1,339",2020-03-19 02:05:01
New York City,"2,469",2020-03-19 17:56:54
New York City,"2,469",2020-03-20 13:21:52
New York City,"4,408",2020-03-20 19:36:17
Niagara,1,2020-03-19 17:56:54
Niagara,1,2020-03-20 13:21:52
Niagara,3,2020-03-20 19:36:17
Oneida,2,2020-03-19 17:56:54
Oneida,2,2020-03-20 13:21:52
Oneida,2,2020-03-20 19:36:17
Onondaga,2,2020-03-17 16:40:43
Onondaga,2,2020-03-17 18:00:34
Onondaga,2,2020-03-17 19:49:33
Onondaga,2,2020-03-17 20:28:21
Onondaga,2,2020-03-18 05:18:04
Onondaga,2,2020-03-18 20:27:28
Onondaga,2,2020-03-19 02:05:01
Onondaga,5,2020-03-19 17:56:54
Onondaga,5,2020-03-20 13:21:52
Onondaga,8,2020-03-20 19:36:17
Ontario,1,2020-03-17 16:40:43
Ontario,1,2020-03-17 18:00:34
Ontario,1,2020-03-17 19:49:33
Ontario,1,2020-03-17 20:28:21
Ontario,1,2020-03-18 05:18:04
Ontario,1,2020-03-18 20:27:28
Ontario,1,2020-03-19 02:05:01
Ontario,1,2020-03-19 17:56:54
Ontario,1,2020-03-20 13:21:52
Ontario,3,2020-03-20 19:36:17
Orange,1,2020-03-12 21:54:00
Orange,3,2020-03-13 20:01:24
Orange,3,2020-03-14 03:19:05
Orange,3,2020-03-14 15:33:50
Orange,6,2020-03-14 18:51:54
Orange,6,2020-03-14 22:31:39
Orange,6,2020-03-15 02:22:39
Orange,6,2020-03-15 15:52:37
Orange,6,2020-03-15 19:58:05
Orange,15,2020-03-17 16:40:43
Orange,15,2020-03-17 18:00:34
Orange,15,2020-03-17 19:49:33
Orange,15,2020-03-17 20:28:21
Orange,15,2020-03-18 05:18:04
Orange,32,2020-03-18 20:27:28
Orange,32,2020-03-19 02:05:01
Orange,51,2020-03-19 17:56:54
Orange,51,2020-03-20 13:21:52
Orange,84,2020-03-20 19:36:17
Putnam,2,2020-03-15 19:58:05
Putnam,2,2020-03-17 16:40:43
Putnam,2,2020-03-17 18:00:34
Putnam,2,2020-03-17 19:49:33
Putnam,2,2020-03-17 20:28:21
Putnam,2,2020-03-18 05:18:04
Putnam,2,2020-03-18 20:27:28
Putnam,2,2020-03-19 02:05:01
Putnam,5,2020-03-19 17:56:54
Putnam,5,2020-03-20 13:21:52
Putnam,7,2020-03-20 19:36:17
Rensselaer,1,2020-03-17 16:40:43
Rensselaer,1,2020-03-17 18:00:34
Rensselaer,1,2020-03-17 19:49:33
Rensselaer,1,2020-03-17 20:28:21
Rensselaer,1,2020-03-18 05:18:04
Rensselaer,4,2020-03-18 20:27:28
Rensselaer,4,2020-03-19 02:05:01
Rensselaer,6,2020-03-19 17:56:54
Rensselaer,6,2020-03-20 13:21:52
Rensselaer,8,2020-03-20 19:36:17
Rockland,2,2020-03-08 19:23:56
Rockland,4,2020-03-09 21:07:28
Rockland,4,2020-03-10 00:25:59
Rockland,6,2020-03-10 18:27:08
Rockland,6,2020-03-11 03:02:16
Rockland,6,2020-03-11 14:13:15
Rockland,6,2020-03-11 20:01:35
Rockland,6,2020-03-12 00:20:09
Rockland,7,2020-03-12 21:54:00
Rockland,9,2020-03-13 20:01:24
Rockland,9,2020-03-14 03:19:05
Rockland,9,2020-03-14 15:33:50
Rockland,10,2020-03-14 18:51:54
Rockland,10,2020-03-14 22:31:39
Rockland,12,2020-03-15 02:22:39
Rockland,12,2020-03-15 15:52:37
Rockland,13,2020-03-15 19:58:05
Rockland,22,2020-03-17 16:40:43
Rockland,22,2020-03-17 18:00:34
Rockland,22,2020-03-17 19:49:33
